team_fifa,team_iso3,team_zh,group_label,head_coach,formation_primary,formation_secondary,tactical_label,tactical_description,key_player_uids,squad_status,metadata_json
Morocco,MAR,摩洛哥,C,Mohamed Ouahbi,4-2-3-1,"4-3-3,4-1-4-1",瓦赫比的体系倾向年轻化、技术化和快速边路推进,瓦赫比的体系倾向年轻化、技术化和快速边路推进，同时继承摩洛哥近年强对抗、防守韧性。 阿什拉夫、马兹拉维式边路推进和齐耶赫/布法尔类型创造力是进攻关键；无球阶段可退成紧凑4-1-4-1。,"67228634,13197862,12029963,37045879,49052370",final_26,"{""key_player_names"": [""Achraf Hakimi"", ""Ayoub El Kaabi"", ""Yassine Bounou"", ""Sofyan Amrabat"", ""Azzedine Ounahi""], ""raw_tactics"": {""squad_status_raw"": ""26人最终名单（FIFA官方Version 1，2026-06-12 04:24 UTC）"", ""coaching_style"": ""瓦赫比的体系倾向年轻化、技术化和快速边路推进，同时继承摩洛哥近年强对抗、防守韧性。"", ""tactical_focus"": ""阿什拉夫、马兹拉维式边路推进和齐耶赫/布法尔类型创造力是进攻关键；无球阶段可退成紧凑4-1-4-1。""}}"
Scotland,SCO,苏格兰,C,Steve Clarke,3-4-2-1,"3-5-2,5-4-1",克拉克体系稳定,克拉克体系稳定，强调低风险推进、三中卫保护和边翼卫参与进攻。 苏格兰会用罗伯逊和右路翼卫提供宽度，麦克托米奈后插上和定位球是重要得分点；面对强队会更深地保护禁区。,"61043456,61043070,29125343,61042900,5200647",final_26,"{""key_player_names"": [""Andy Robertson"", ""John McGinn"", ""Scott McTominay"", ""Ryan Christie"", ""Craig Gordon""], ""raw_tactics"": {""squad_status_raw"": ""26人最终名单（FIFA官方Version 1，2026-06-12 04:24 UTC）"", ""coaching_style"": ""克拉克体系稳定，强调低风险推进、三中卫保护和边翼卫参与进攻。"", ""tactical_focus"": ""苏格兰会用罗伯逊和右路翼卫提供宽度，麦克托米奈后插上和定位球是重要得分点；面对强队会更深地保护禁区。""}}"
Australia,AUS,澳大利亚,D,Tony Popovic,3-4-2-1,"4-2-3-1,4-4-2",波波维奇重视防守秩序、身体对抗和定位球,波波维奇重视防守秩序、身体对抗和定位球，球队通常比赛方式直接。 澳大利亚会通过中后场长传、边路传中和二点球推进，伊尔代尔/博伊尔等速度点负责转换；三中卫可提升防空和禁区保护。,"15016604,61041668,29065287,15009268,15040452",final_26,"{""key_player_names"": [""Mathew Ryan"", ""Jackson Irvine"", ""Mathew Leckie"", ""Aziz Behich"", ""Awer Mabil""], ""raw_tactics"": {""squad_status_raw"": ""26人最终名单（FIFA官方Version 1，2026-06-12 04:24 UTC）"", ""coaching_style"": ""波波维奇重视防守秩序、身体对抗和定位球，球队通常比赛方式直接。"", ""tactical_focus"": ""澳大利亚会通过中后场长传、边路传中和二点球推进，伊尔代尔/博伊尔等速度点负责转换；三中卫可提升防空和禁区保护。""}}"
Paraguay,PAR,巴拉圭,D,Gustavo Alfaro,4-2-3-1,"4-4-2,5-4-1",阿尔法罗是典型南美务实派,阿尔法罗是典型南美务实派，低/中位防守、身体对抗和定位球质量很重要。 巴拉圭会用紧凑防线限制中路，进攻依赖阿尔米隆、恩西索等人的带球推进和圣纳夫里亚式终结；领先后会更保守。,"79010306,79024232,79024221,67181404,79013838",final_26,"{""key_player_names"": [""Gustavo Gómez"", ""Miguel Almirón"", ""Júnior Alonso"", ""Antonio Sanabria"", ""Fabián Balbuena""], ""raw_tactics"": {""squad_status_raw"": ""26人最终名单（FIFA官方Version 1，2026-06-12 04:24 UTC）"", ""coaching_style"": ""阿尔法罗是典型南美务实派，低/中位防守、身体对抗和定位球质量很重要。"", ""tactical_focus"": ""巴拉圭会用紧凑防线限制中路，进攻依赖阿尔米隆、恩西索等人的带球推进和圣纳夫里亚式终结；领先后会更保守。""}}"
Türkiye,TUR,土耳其,D,Vincenzo Montella,4-2-3-1,"4-3-3,4-1-4-1",蒙特拉鼓励技术型中前场大胆持球,蒙特拉鼓励技术型中前场大胆持球，整体比传统土耳其更强调流动性和前场压迫。 恰尔汗奥卢控制第一脚出球，阿尔达-居莱尔、凯南-伊尔迪兹等人在肋部寻找最后一传；边后卫压上后身后保护是风险点。,"92026209,91100534,70099785,83176849,70097248",final_26,"{""key_player_names"": [""Hakan Çalhanoğlu"", ""Kaan Ayhan"", ""Kerem Aktürkoğlu"", ""Merih Demiral"", ""Zeki Çelik""], ""raw_tactics"": {""squad_status_raw"": ""26人最终名单（FIFA官方Version 1，2026-06-12 04:24 UTC）"", ""coaching_style"": ""蒙特拉鼓励技术型中前场大胆持球，整体比传统土耳其更强调流动性和前场压迫。"", ""tactical_focus"": ""恰尔汗奥卢控制第一脚出球，阿尔达-居莱尔、凯南-伊尔迪兹等人在肋部寻找最后一传；边后卫压上后身后保护是风险点。""}}"
USA,USA,美国,D,Mauricio Pochettino,4-2-3-1,"4-3-3,4-4-2",波切蒂诺强调高压、快速纵向推进和前场球员轮转,波切蒂诺强调高压、快速纵向推进和前场球员轮转，重视比赛强度。 普利希奇、雷纳、麦肯尼和穆萨构成推进核心，巴洛贡/佩皮负责牵制中卫；防守端需要控制高位压迫被打穿后的空间。,"92074020,72021508,72048035,20046423,48042432",final_26,"{""key_player_names"": [""Christian Pulisic"", ""Tim Ream"", ""Weston McKennie"", ""Brenden Aaronson"", ""Timothy Weah""], ""raw_tactics"": {""squad_status_raw"": ""26人最终名单（FIFA官方Version 1，2026-06-12 04:24 UTC）"", ""coaching_style"": ""波切蒂诺强调高压、快速纵向推进和前场球员轮转，重视比赛强度。"", ""tactical_focus"": ""普利希奇、雷纳、麦肯尼和穆萨构成推进核心，巴洛贡/佩皮负责牵制中卫；防守端需要控制高位压迫被打穿后的空间。""}}"
Curaçao,CUW,库拉索,E,Dick Advocaat,4-2-3-1,"4-3-3,5-4-1",艾德沃卡特经验丰富,艾德沃卡特经验丰富，风格偏稳健和结果导向，愿意先把防守结构搭牢。 库拉索会以荷兰体系球员的脚下能力组织反击，边路速度和定位球是抢分关键；面对强队大概率回撤成中低位。,"37019044,37046963,860472,216444,28058332",final_26,"{""key_player_names"": [""Leandro Bacuna"", ""Juninho Bacuna"", ""Eloy Room"", ""Juriën Gaari"", ""Kenji Gorré""], ""raw_tactics"": {""squad_status_raw"": ""26人最终名单（FIFA官方Version 1，2026-06-12 04:24 UTC）"", ""coaching_style"": ""艾德沃卡特经验丰富，风格偏稳健和结果导向，愿意先把防守结构搭牢。"", ""tactical_focus"": ""库拉索会以荷兰体系球员的脚下能力组织反击，边路速度和定位球是抢分关键；面对强队大概率回撤成中低位。""}}"
Ecuador,ECU,厄瓜多尔,E,Sebastián Beccacece,3-4-2-1,"4-2-3-1,4-3-3",贝卡塞塞偏进攻主动、强调压迫和快速夺回球权,贝卡塞塞偏进攻主动、强调压迫和快速夺回球权，阵型可在三中卫与四后卫间切换。 凯塞多和派斯类型球员负责中场推进，边翼卫/边锋拉开宽度；高压逼抢后的反击是最具威胁的进攻方式。,"86012153,86078360,86066846,86066841,86045976",final_26,"{""key_player_names"": [""Enner Valencia"", ""Moisés Caicedo"", ""Gonzalo Plata"", ""Alan Franco"", ""Pervis Estupiñán""], ""raw_tactics"": {""squad_status_raw"": ""26人最终名单（FIFA官方Version 1，2026-06-12 04:24 UTC）"", ""coaching_style"": ""贝卡塞塞偏进攻主动、强调压迫和快速夺回球权，阵型可在三中卫与四后卫间切换。"", ""tactical_focus"": ""凯塞多和派斯类型球员负责中场推进，边翼卫/边锋拉开宽度；高压逼抢后的反击是最具威胁的进攻方式。""}}"
Germany,GER,德国,E,Julian Nagelsmann,4-2-3-1,"3-4-2-1,4-3-3",纳格尔斯曼强调结构化控球、位置轮转和反抢,纳格尔斯曼强调结构化控球、位置轮转和反抢，常用不对称站位创造中路人数优势。 德国会用中场双核控制节奏，穆西亚拉、维尔茨等在肋部自由接球；边后卫内收或压上取决于对手压迫方式。,"92039023,8718372,91138280,91151081,91104807",final_26,"{""key_player_names"": [""Joshua Kimmich"", ""Manuel Neuer"", ""Leroy Sané"", ""Kai Havertz"", ""Leon Goretzka""], ""raw_tactics"": {""squad_status_raw"": ""26人最终名单（FIFA官方Version 1，2026-06-12 04:24 UTC）"", ""coaching_style"": ""纳格尔斯曼强调结构化控球、位置轮转和反抢，常用不对称站位创造中路人数优势。"", ""tactical_focus"": ""德国会用中场双核控制节奏，穆西亚拉、维尔茨等在肋部自由接球；边后卫内收或压上取决于对手压迫方式。""}}"
Côte D'Ivoire,CIV,科特迪瓦,E,Emerse Faé,4-3-3,"4-2-3-1,4-4-2",法埃延续科特迪瓦的身体优势和速度优势,法埃延续科特迪瓦的身体优势和速度优势，同时更重视中场平衡。 凯西、福法纳等中场负责对抗与推进，阿丁格拉、佩佩类型边锋制造转换威胁；防守端需要减少后场出球失误。,"13136664,48042717,85136376,12021720,83137942",final_26,"{""key_player_names"": [""Franck Kessié"", ""Ibrahim Sangaré"", ""Nicolas Pépé"", ""Jean Michaël Seri"", ""Ghislain Konan""], ""raw_tactics"": {""squad_status_raw"": ""26人最终名单（FIFA官方Version 1，2026-06-12 04:24 UTC）"", ""coaching_style"": ""法埃延续科特迪瓦的身体优势和速度优势，同时更重视中场平衡。"", ""tactical_focus"": ""凯西、福法纳等中场负责对抗与推进，阿丁格拉、佩佩类型边锋制造转换威胁；防守端需要减少后场出球失误。""}}"
Japan,JPN,日本,F,Hajime Moriyasu,4-2-3-1,"3-4-2-1,4-3-3",森保一非常灵活,森保一非常灵活，能在控球、反击和三中卫防守间切换，临场调整能力强。 日本会用技术型中场和边路速度制造连续小组配合，久保、三笘、堂安类型球员负责肋部突破；领先后可切到五后卫。,"45005331,45092815,45095577,45092714,45104608",final_26,"{""key_player_names"": [""Yūto Nagatomo"", ""Junya Itō"", ""Ritsu Dōan"", ""Daichi Kamada"", ""KUBO Takefusa""], ""raw_tactics"": {""squad_status_raw"": ""26人最终名单（FIFA官方Version 1，2026-06-12 04:24 UTC）"", ""coaching_style"": ""森保一非常灵活，能在控球、反击和三中卫防守间切换，临场调整能力强。"", ""tactical_focus"": ""日本会用技术型中场和边路速度制造连续小组配合，久保、三笘、堂安类型球员负责肋部突破；领先后可切到五后卫。""}}"
Netherlands,NED,荷兰,F,Ronald Koeman,4-3-3,"3-4-2-1,3-5-2",科曼延续荷兰控球传统,科曼延续荷兰控球传统，但在大赛里会务实地使用三中卫。 范戴克领衔的防线支持后场出球，德容式中场推进和边路宽度是关键；锋线依靠加克波、德佩等人的肋部跑动。,"37024470,37024025,37052843,37062185,37026994",final_26,"{""key_player_names"": [""Memphis Depay"", ""Virgil van Dijk"", ""Denzel Dumfries"", ""Cody Gakpo"", ""Wout Weghorst""], ""raw_tactics"": {""squad_status_raw"": ""26人最终名单（FIFA官方Version 1，2026-06-12 04:24 UTC）"", ""coaching_style"": ""科曼延续荷兰控球传统，但在大赛里会务实地使用三中卫。"", ""tactical_focus"": ""范戴克领衔的防线支持后场出球，德容式中场推进和边路宽度是关键；锋线依靠加克波、德佩等人的肋部跑动。""}}"
Sweden,SWE,瑞典,F,Graham Potter,3-4-2-1,"4-2-3-1,4-4-2",波特式执教强调阵型弹性、三线距离和球员轮转,波特式执教强调阵型弹性、三线距离和球员轮转，适合在不同阶段切换控球与反击。 瑞典锋线具备高度和冲击力，中场需要把球快速送到肋部和禁区；三中卫体系可释放边翼卫传中。,"93023425,93070286,93070271,93065023,93023836",final_26,"{""key_player_names"": [""Victor Lindelöf"", ""Alexander Isak"", ""Viktor Gyökeres"", ""Mattias Svanberg"", ""Ken Sema""], ""raw_tactics"": {""squad_status_raw"": ""26人最终名单（FIFA官方Version 1，2026-06-12 04:24 UTC）"", ""coaching_style"": ""波特式执教强调阵型弹性、三线距离和球员轮转，适合在不同阶段切换控球与反击。"", ""tactical_focus"": ""瑞典锋线具备高度和冲击力，中场需要把球快速送到肋部和禁区；三中卫体系可释放边翼卫传中。""}}"
Tunisia,TUN,突尼斯,F,Sabri Lamouchi,4-3-3,"4-2-3-1,5-4-1",拉穆希倾向稳固防线和快速反击,拉穆希倾向稳固防线和快速反击，打法重纪律、覆盖和对抗。 突尼斯会优先封锁中路，靠边路推进和前锋身后跑动创造机会；定位球防守和进攻同样关键。,"85126092,13198535,12055780,48043981,49056369",final_26,"{""key_player_names"": [""Ellyes Skhiri"", ""Montassar Talbi"", ""Ali Abdi"", ""Dylan Bronn"", ""MEJBRI Hannibal""], ""raw_tactics"": {""squad_status_raw"": ""26人最终名单（FIFA官方Version 1，2026-06-12 04:24 UTC）"", ""coaching_style"": ""拉穆希倾向稳固防线和快速反击，打法重纪律、覆盖和对抗。"", ""tactical_focus"": ""突尼斯会优先封锁中路，靠边路推进和前锋身后跑动创造机会；定位球防守和进攻同样关键。""}}"
Belgium,BEL,比利时,G,Rudi Garcia,4-2-3-1,"4-3-3,3-4-2-1",鲁迪-加西亚偏进攻平衡,鲁迪-加西亚偏进攻平衡，重视边路推进和前腰/中锋之间的连接。 德布劳内式核心负责组织最后一传，多库、卢克巴基奥等速度点冲击边路；防线年龄结构要求中场给足保护。,"18007344,18004457,8169215,18077264,18026122",final_26,"{""key_player_names"": [""Romelu Lukaku"", ""Kevin De Bruyne"", ""Axel Witsel"", ""Youri Tielemans"", ""Thibaut Courtois""], ""raw_tactics"": {""squad_status_raw"": ""26人最终名单（FIFA官方Version 1，2026-06-12 04:24 UTC）"", ""coaching_style"": ""鲁迪-加西亚偏进攻平衡，重视边路推进和前腰/中锋之间的连接。"", ""tactical_focus"": ""德布劳内式核心负责组织最后一传，多库、卢克巴基奥等速度点冲击边路；防线年龄结构要求中场给足保护。""}}"
Egypt,EGY,埃及,G,Hossam Hassan,4-3-3,"4-2-3-1,4-4-2",霍萨姆-哈桑强调强硬作风、情绪动员和快速直接的进攻选择,霍萨姆-哈桑强调强硬作风、情绪动员和快速直接的进攻选择。 萨拉赫是绝对进攻轴心，球队会在防守后尽快找右路或身后空间；中场需要承担大量保护和二点争夺。,"98028755,13156726,18084626,91205962,12020128",final_26,"{""key_player_names"": [""Mohamed Salah"", ""Trézéguet"", ""Zizo"", ""Omar Marmoush"", ""Mohamed El Shenawy""], ""raw_tactics"": {""squad_status_raw"": ""26人最终名单（FIFA官方Version 1，2026-06-12 04:24 UTC）"", ""coaching_style"": ""霍萨姆-哈桑强调强硬作风、情绪动员和快速直接的进攻选择。"", ""tactical_focus"": ""萨拉赫是绝对进攻轴心，球队会在防守后尽快找右路或身后空间；中场需要承担大量保护和二点争夺。""}}"
IR Iran,IRN,伊朗,G,Amir Ghalenoei,4-2-3-1,"4-4-2,5-4-1",加勒诺伊的伊朗队经验丰富、务实,加勒诺伊的伊朗队经验丰富、务实，重视中低位防守和转换效率。 塔雷米是锋线支点和终结点，中场通过埃扎托拉希等人保护禁区前沿；定位球与长传找前锋是常规武器。,"23127918,37044889,23240168,23127761,23034077",final_26,"{""key_player_names"": [""Mehdi Taremi"", ""Alireza Jahanbakhsh"", ""Saeid Ezatolahi"", ""Ramin Rezaeian"", ""HAJISAFI Ehsan""], ""raw_tactics"": {""squad_status_raw"": ""26人最终名单（FIFA官方Version 1，2026-06-12 04:24 UTC）"", ""coaching_style"": ""加勒诺伊的伊朗队经验丰富、务实，重视中低位防守和转换效率。"", ""tactical_focus"": ""塔雷米是锋线支点和终结点，中场通过埃扎托拉希等人保护禁区前沿；定位球与长传找前锋是常规武器。""}}"
New Zealand,NZL,新西兰,G,Darren Bazeley,4-3-3,"4-2-3-1,5-4-1",巴兹利的球队讲究团队纪律、身体对抗和简单高效的推进,巴兹利的球队讲究团队纪律、身体对抗和简单高效的推进。 克里斯-伍德提供支点和禁区终结，边路传中和定位球是最现实的得分方式；面对强队会采用紧凑低位。,"5108293,15001285,88023993,88000990",final_26,"{""key_player_names"": [""Chris Wood"", ""Kosta Barbarouses"", ""Elijah Just"", ""Michael Boxall"", ""Tommy Smith""], ""raw_tactics"": {""squad_status_raw"": ""26人最终名单（FIFA官方Version 1，2026-06-12 04:24 UTC）"", ""coaching_style"": ""巴兹利的球队讲究团队纪律、身体对抗和简单高效的推进。"", ""tactical_focus"": ""克里斯-伍德提供支点和禁区终结，边路传中和定位球是最现实的得分方式；面对强队会采用紧凑低位。""}}"
Cabo Verde,CPV,佛得角,H,Bubista,4-3-3,"4-2-3-1,5-4-1",布比斯塔体系务实、紧凑,布比斯塔体系务实、紧凑，强调整体防守和快速边路转换。 佛得角会依靠迪亚斯、贝贝等前场球员的个人能力制造反击，后场先求稳定，定位球可能是爆冷关键。,"85042178,13131187,860985,55012348,37041867",final_26,"{""key_player_names"": [""Ryan Mendes"", ""Vozinha"", ""Garry Rodrigues"", ""Stopira"", ""Jamiro Monteiro""], ""raw_tactics"": {""squad_status_raw"": ""26人最终名单（FIFA官方Version 1，2026-06-12 04:24 UTC）"", ""coaching_style"": ""布比斯塔体系务实、紧凑，强调整体防守和快速边路转换。"", ""tactical_focus"": ""佛得角会依靠迪亚斯、贝贝等前场球员的个人能力制造反击，后场先求稳定，定位球可能是爆冷关键。""}}"
Saudi Arabia,KSA,沙特阿拉伯,H,Georgios Donis,4-2-3-1,"4-3-3,4-1-4-1",多尼斯偏重攻守平衡和速度转换,多尼斯偏重攻守平衡和速度转换，通常不会放弃前场压迫。 沙特会用本土联赛核心维持控球节奏，边路冲击和禁区前短传配合是主要进攻方式；防线身后空间是主要风险。,"23168001,23248112,23248105,23414228,23208529",final_26,"{""key_player_names"": [""Salem Al-Dawsari"", ""Mohamed Kanno"", ""Saleh Al-Shehri"", ""FERAS ALBRIKAN"", ""MOHAMMED ALOWAIS""], ""raw_tactics"": {""squad_status_raw"": ""26人最终名单（FIFA官方Version 1，2026-06-12 04:24 UTC）"", ""coaching_style"": ""多尼斯偏重攻守平衡和速度转换，通常不会放弃前场压迫。"", ""tactical_focus"": ""沙特会用本土联赛核心维持控球节奏，边路冲击和禁区前短传配合是主要进攻方式；防线身后空间是主要风险。""}}"
